algorithm_name, process_count, plaintext_length, time_to_run_ns

text_encryption_algorithm,1,50,10176875
text_encryption_algorithm,1,50,1326416
text_encryption_algorithm,1,50,1268083
text_encryption_algorithm,1,50,2482917
text_encryption_algorithm,1,50,4278667
text_encryption_algorithm,1,50,2741542
text_encryption_algorithm,1,50,7764875
text_encryption_algorithm,1,50,3326792
text_encryption_algorithm,1,50,4049875
text_encryption_algorithm,1,50,4966333
text_encryption_algorithm,1,1000,8029833
text_encryption_algorithm,1,1000,1537916
text_encryption_algorithm,1,1000,968584
text_encryption_algorithm,1,1000,1265208
text_encryption_algorithm,1,1000,2091375
text_encryption_algorithm,1,1000,3255500
text_encryption_algorithm,1,1000,10783542
text_encryption_algorithm,1,1000,1489167
text_encryption_algorithm,1,1000,7496583
text_encryption_algorithm,1,1000,6279750
text_encryption_algorithm,1,2000,6017958
text_encryption_algorithm,1,2000,1316458
text_encryption_algorithm,1,2000,970750
text_encryption_algorithm,1,2000,1645042
text_encryption_algorithm,1,2000,1607916
text_encryption_algorithm,1,2000,3196625
text_encryption_algorithm,1,2000,3443875
text_encryption_algorithm,1,2000,2981083
text_encryption_algorithm,1,2000,5235375
text_encryption_algorithm,1,2000,5218209
text_encryption_algorithm,1,5000,5704792
text_encryption_algorithm,1,5000,954375
text_encryption_algorithm,1,5000,1135667
text_encryption_algorithm,1,5000,2528750
text_encryption_algorithm,1,5000,1900625
text_encryption_algorithm,1,5000,6380875
text_encryption_algorithm,1,5000,1536125
text_encryption_algorithm,1,5000,4168334
text_encryption_algorithm,1,5000,5685958
text_encryption_algorithm,1,5000,1343417
text_encryption_algorithm,1,10000,7656708
text_encryption_algorithm,1,10000,872083
text_encryption_algorithm,1,10000,1215125
text_encryption_algorithm,1,10000,1141375
text_encryption_algorithm,1,10000,4897625
text_encryption_algorithm,1,10000,1969000
text_encryption_algorithm,1,10000,2425875
text_encryption_algorithm,1,10000,7514167
text_encryption_algorithm,1,10000,2211542
text_encryption_algorithm,1,10000,3404667
text_encryption_algorithm,1,27854,7357542
text_encryption_algorithm,1,27854,4553417
text_encryption_algorithm,1,27854,1108125
text_encryption_algorithm,1,27854,3286750
text_encryption_algorithm,1,27854,2036584
text_encryption_algorithm,1,27854,9130875
text_encryption_algorithm,1,27854,3881250
